group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,1019542.0,ns,398
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,1926042.0,ns,796
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,2871833.0,ns,1194
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,4022416.0,ns,1592
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,5002250.0,ns,1990
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,5947542.0,ns,2388
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,6524042.0,ns,2786
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,7481333.0,ns,3184
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,8383625.0,ns,3582
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,9341625.0,ns,3980
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,10465208.0,ns,4378
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,11436083.0,ns,4776
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,12479500.0,ns,5174
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,13623917.0,ns,5572
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,14592000.0,ns,5970
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,15586291.0,ns,6368
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,16595708.0,ns,6766
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,17461333.0,ns,7164
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,18564917.0,ns,7562
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,19390250.0,ns,7960
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,20388583.0,ns,8358
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,21529125.0,ns,8756
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,22458000.0,ns,9154
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,23378667.0,ns,9552
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,24460458.0,ns,9950
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,25365208.0,ns,10348
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,26278334.0,ns,10746
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,27148542.0,ns,11144
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,28334334.0,ns,11542
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,29225958.0,ns,11940
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,30321958.0,ns,12338
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,31119792.0,ns,12736
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,32274791.0,ns,13134
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,33368250.0,ns,13532
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,34037667.0,ns,13930
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,35244875.0,ns,14328
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,36038375.0,ns,14726
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,36965625.0,ns,15124
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,38029375.0,ns,15522
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,38995417.0,ns,15920
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,40027375.0,ns,16318
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,40928583.0,ns,16716
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,41810708.0,ns,17114
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,42854458.0,ns,17512
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,43808250.0,ns,17910
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,45000500.0,ns,18308
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,45761792.0,ns,18706
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,46705916.0,ns,19104
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,47986666.0,ns,19502
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,48688750.0,ns,19900
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,49523375.0,ns,20298
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,50745167.0,ns,20696
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,51591167.0,ns,21094
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,52715250.0,ns,21492
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,53528375.0,ns,21890
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,54578792.0,ns,22288
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,55700500.0,ns,22686
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,56309250.0,ns,23084
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,57558459.0,ns,23482
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,58326459.0,ns,23880
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,59374167.0,ns,24278
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,60215625.0,ns,24676
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,61374292.0,ns,25074
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,62429167.0,ns,25472
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,63342667.0,ns,25870
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,64426541.0,ns,26268
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,65416750.0,ns,26666
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,69300167.0,ns,27064
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,73596375.0,ns,27462
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,70036625.0,ns,27860
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,70082292.0,ns,28258
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,70744250.0,ns,28656
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,71560458.0,ns,29054
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,72120208.0,ns,29452
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,73051583.0,ns,29850
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,74259541.0,ns,30248
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,75009917.0,ns,30646
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,74476084.0,ns,31044
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,76297750.0,ns,31442
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,77772417.0,ns,31840
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,78757541.0,ns,32238
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,79843916.0,ns,32636
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,80958041.0,ns,33034
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,81732750.0,ns,33432
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,83250750.0,ns,33830
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,84013291.0,ns,34228
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,84729042.0,ns,34626
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,85737292.0,ns,35024
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,86693458.0,ns,35422
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,87554583.0,ns,35820
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,88761583.0,ns,36218
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,89699291.0,ns,36616
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,90335667.0,ns,37014
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,91692917.0,ns,37412
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,92639792.0,ns,37810
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,93750834.0,ns,38208
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,94437625.0,ns,38606
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,95347209.0,ns,39004
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,96351375.0,ns,39402
"read(k, pks, c1, c2, sigma, st)",Read message of size 40,,,,97305292.0,ns,39800
