group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52595792.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52762084.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,54320417.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,57415208.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,54991667.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52546500.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52526667.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52539083.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52569041.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52918291.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52607375.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52818250.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52571125.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52675750.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52591708.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52576459.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52624667.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52582084.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52516417.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52541209.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52525334.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52571875.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52621125.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52565333.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52542125.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52491708.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52538833.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52565542.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52581000.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52599917.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52569417.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52551875.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52629791.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52673875.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52706167.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52539500.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52811333.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52525041.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52594958.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52619291.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,54731500.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52565541.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52531750.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52496250.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52438583.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52558750.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,53281417.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,53371708.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52839750.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52633333.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52580250.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52494667.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52496583.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52550542.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52480125.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52579208.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52469250.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52529000.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52489500.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,54199666.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,54797917.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,53884791.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52531958.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52470625.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52437375.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52486209.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52501875.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52557167.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52571709.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52531917.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52492417.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52461625.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52517417.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52563458.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52493000.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52437042.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52483541.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52806500.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52551583.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52427583.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52466292.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52438666.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52370541.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52388625.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52377000.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52425583.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52448000.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52398042.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52356333.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52395417.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52436125.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52401708.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52469417.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52383083.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52379625.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52430458.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52519500.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52440542.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52494542.0,ns,20
"send(k, m, pk_i)",Sent 640 messages of size 10,,,,52329375.0,ns,20
