group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,1061916.0,ns,25
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,2083083.0,ns,50
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,3079709.0,ns,75
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,4113750.0,ns,100
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,5141375.0,ns,125
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,6289584.0,ns,150
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,6900750.0,ns,175
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,8115875.0,ns,200
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,9262500.0,ns,225
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,10264625.0,ns,250
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,11273209.0,ns,275
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,12308459.0,ns,300
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,13307583.0,ns,325
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,14384750.0,ns,350
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,15385333.0,ns,375
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,16382625.0,ns,400
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,17405209.0,ns,425
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,18456709.0,ns,450
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,19442583.0,ns,475
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,20470416.0,ns,500
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,21508083.0,ns,525
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,22530708.0,ns,550
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,23550959.0,ns,575
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,24564042.0,ns,600
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,25611500.0,ns,625
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,26610291.0,ns,650
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,27630000.0,ns,675
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,28713333.0,ns,700
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,29691833.0,ns,725
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,30715959.0,ns,750
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,31732917.0,ns,775
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,32832417.0,ns,800
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,33786750.0,ns,825
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,34863541.0,ns,850
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,36733958.0,ns,875
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,38385334.0,ns,900
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,40556125.0,ns,925
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,39564459.0,ns,950
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,39901709.0,ns,975
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,40903250.0,ns,1000
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,41935000.0,ns,1025
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,42981959.0,ns,1050
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,44108417.0,ns,1075
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,44996666.0,ns,1100
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,46379458.0,ns,1125
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,47256083.0,ns,1150
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,48285833.0,ns,1175
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,49265459.0,ns,1200
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,50297917.0,ns,1225
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,51291459.0,ns,1250
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,52377250.0,ns,1275
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,53350459.0,ns,1300
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,54731250.0,ns,1325
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,55307416.0,ns,1350
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,56345458.0,ns,1375
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,57292708.0,ns,1400
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,58345083.0,ns,1425
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,59412459.0,ns,1450
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,60368625.0,ns,1475
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,61375125.0,ns,1500
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,62688375.0,ns,1525
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,63752833.0,ns,1550
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,64824833.0,ns,1575
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,65778917.0,ns,1600
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,66768375.0,ns,1625
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,67820125.0,ns,1650
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,68856833.0,ns,1675
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,69886458.0,ns,1700
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,70896042.0,ns,1725
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,71923792.0,ns,1750
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,72942583.0,ns,1775
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,74005375.0,ns,1800
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,74974833.0,ns,1825
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,75954000.0,ns,1850
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,77091417.0,ns,1875
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,78040000.0,ns,1900
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,79164333.0,ns,1925
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,80059375.0,ns,1950
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,80988500.0,ns,1975
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,82052542.0,ns,2000
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,83138416.0,ns,2025
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,84276625.0,ns,2050
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,85221875.0,ns,2075
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,88245916.0,ns,2100
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,89843959.0,ns,2125
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,88072250.0,ns,2150
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,89123584.0,ns,2175
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,92447667.0,ns,2200
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,91126417.0,ns,2225
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,92167584.0,ns,2250
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,93255584.0,ns,2275
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,94239125.0,ns,2300
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,95279250.0,ns,2325
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,96374833.0,ns,2350
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,97272625.0,ns,2375
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,98341792.0,ns,2400
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,99322833.0,ns,2425
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,100396500.0,ns,2450
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,101407334.0,ns,2475
"send(k, m, pk_i)",Sent 10 messages of size 20,,,,102479625.0,ns,2500
