group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52899625.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52609708.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52643500.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52730042.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52512417.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52534000.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52606375.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52617500.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52505833.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52488250.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52436541.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52526875.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52461500.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52629292.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52531959.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52440708.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52499791.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52502958.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52448792.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52532625.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52431417.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52732042.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52625166.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52530125.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52557334.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52542750.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52498833.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52503250.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52516042.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,53959750.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,53969584.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,53351416.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52833000.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52659833.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52655833.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52767375.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52595667.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52629834.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52703583.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52648917.0,ns,10
"send(k, m, pk_i)",Sent 1280 messages of size 10,,,,52603459.0,ns,10
