x,mod-priv,basic,const-mod-priv
1,50.587,46.909,145.32
100,132.425,47.083,145.337
200,214.695,47.109,145.375
300,296.605,47.163,145.272
400,378.814,47.339,145.321
500,460.926,47.188,145.213
600,543.106,47.206,145.798
700,625.687,47.223,145.606
800,707.299,47.262,145.254
900,790.069,47.266,145.99
1000,872.116,47.091,145.294
