group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,1508167.0,ns,2
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,2957708.0,ns,4
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,4443833.0,ns,6
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,5930000.0,ns,8
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,7429458.0,ns,10
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,8900166.0,ns,12
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,10668583.0,ns,14
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,12405083.0,ns,16
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,13375208.0,ns,18
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,15003541.0,ns,20
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,16316500.0,ns,22
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,17786000.0,ns,24
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,19326416.0,ns,26
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,20822750.0,ns,28
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,22262125.0,ns,30
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,23887042.0,ns,32
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,25210042.0,ns,34
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,26770792.0,ns,36
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,28098208.0,ns,38
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,29770625.0,ns,40
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,31231916.0,ns,42
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,32679792.0,ns,44
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,34195167.0,ns,46
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,35609584.0,ns,48
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,37135833.0,ns,50
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,38733458.0,ns,52
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,40120958.0,ns,54
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,41602958.0,ns,56
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,43241708.0,ns,58
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,44602166.0,ns,60
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,46135083.0,ns,62
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,47519459.0,ns,64
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,49075583.0,ns,66
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,50534958.0,ns,68
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,52040458.0,ns,70
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,53613959.0,ns,72
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,55514333.0,ns,74
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,58185500.0,ns,76
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,59277500.0,ns,78
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,59302292.0,ns,80
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,60601917.0,ns,82
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,62110500.0,ns,84
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,64325166.0,ns,86
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,65442333.0,ns,88
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,66716708.0,ns,90
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,68403459.0,ns,92
"send(k, m, pk_i)",Sent 80 messages of size 640,,,,69855417.0,ns,94
