x,send,process,read,report,moderate
1,44.305,53.324,35.096,34.855,43.826
2,44.244,53.546,35.214,37.83,43.637
4,43.852,55.257,34.514,35.013,44.028
8,44.739,59.431,34.431,34.879,48.727
16,44.134,67.399,36.243,34.814,48.092
32,43.448,82.857,35.603,34.426,51.047
64,43.473,115.008,35.781,34.654,56.83
128,44.971,177.606,34.671,34.743,69.766
256,44.243,336.069,34.449,34.61,96.946
512,44.051,612.211,34.572,35.099,148.272
1024,43.77,1175.52,34.953,35.392,256.294
