x,send,process,read,report,moderate
1,44.237,149.57,33.734,516.324,523.82
2,44.395,148.85,33.418,516.464,522.798
4,43.585,148.996,33.753,515.189,522.098
8,43.261,147.844,33.487,518.417,522.196
16,43.171,149.605,33.618,520.683,522.508
32,44.055,148.78,33.439,538.337,524.069
64,43.568,150.557,33.924,519.62,575.86
128,43.626,149.359,33.413,518.549,523.342
256,43.979,148.413,33.45,522.682,520.963
512,44.551,147.763,33.585,527.422,524.792
1024,44.862,150.791,33.503,517.414,521.671
