group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,1273417.0,ns,3
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,2683917.0,ns,6
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,3732500.0,ns,9
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,4989958.0,ns,12
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,6461500.0,ns,15
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,7531959.0,ns,18
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,9213834.0,ns,21
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,10238000.0,ns,24
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,11227458.0,ns,27
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,12690167.0,ns,30
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,13965208.0,ns,33
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,15436250.0,ns,36
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,16431250.0,ns,39
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,17701583.0,ns,42
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,19089584.0,ns,45
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,20183250.0,ns,48
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,21597042.0,ns,51
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,22656750.0,ns,54
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,24089791.0,ns,57
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,25344875.0,ns,60
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,26637000.0,ns,63
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,27836459.0,ns,66
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,29092750.0,ns,69
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,30338959.0,ns,72
"moderate(k, pks, c1, c2, sigma, st)",Moderated message of size 40,,,,31793875.0,ns,75
