group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,1161167.0,ns,8
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,2288708.0,ns,16
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,3383625.0,ns,24
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,4508334.0,ns,32
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,5658042.0,ns,40
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,6933292.0,ns,48
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,7892667.0,ns,56
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,9067584.0,ns,64
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,10182125.0,ns,72
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,12557792.0,ns,80
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,12815209.0,ns,88
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,13705708.0,ns,96
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,14786875.0,ns,104
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,15796709.0,ns,112
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,17003375.0,ns,120
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,18084917.0,ns,128
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,19274042.0,ns,136
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,20359459.0,ns,144
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,21446542.0,ns,152
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,22565875.0,ns,160
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,23688416.0,ns,168
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,24825000.0,ns,176
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,25936792.0,ns,184
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,27116250.0,ns,192
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,28241375.0,ns,200
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,30254209.0,ns,208
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,31331458.0,ns,216
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,32678750.0,ns,224
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,33564084.0,ns,232
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,34101250.0,ns,240
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,34970792.0,ns,248
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,36177625.0,ns,256
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,39882208.0,ns,264
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,38611166.0,ns,272
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,39507083.0,ns,280
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,40592917.0,ns,288
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,41735125.0,ns,296
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,42856458.0,ns,304
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,43979584.0,ns,312
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,45089500.0,ns,320
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,46229083.0,ns,328
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,47340959.0,ns,336
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,48417625.0,ns,344
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,49606709.0,ns,352
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,50690125.0,ns,360
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,52335583.0,ns,368
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,52872584.0,ns,376
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,53866125.0,ns,384
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,54941875.0,ns,392
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,56055125.0,ns,400
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,57401083.0,ns,408
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,58290375.0,ns,416
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,59416000.0,ns,424
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,60683458.0,ns,432
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,61621375.0,ns,440
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,62790167.0,ns,448
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,63898458.0,ns,456
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,65016083.0,ns,464
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,66128250.0,ns,472
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,67194417.0,ns,480
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,68323375.0,ns,488
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,69498000.0,ns,496
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,70674500.0,ns,504
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,71695042.0,ns,512
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,72843834.0,ns,520
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,73958375.0,ns,528
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,75156416.0,ns,536
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,76224209.0,ns,544
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,77472250.0,ns,552
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,78447625.0,ns,560
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,79637917.0,ns,568
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,80660292.0,ns,576
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,81757875.0,ns,584
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,82842875.0,ns,592
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,83872375.0,ns,600
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,85073250.0,ns,608
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,86212708.0,ns,616
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,90710958.0,ns,624
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,89679375.0,ns,632
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,89984458.0,ns,640
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,90704833.0,ns,648
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,91695500.0,ns,656
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,92837833.0,ns,664
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,94002125.0,ns,672
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,95152125.0,ns,680
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,96209334.0,ns,688
"send(k, m, pk_i)",Sent 40 messages of size 40,,,,97319500.0,ns,696
