group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,1343208.0,ns,2
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,2636417.0,ns,4
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,3937584.0,ns,6
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,5271792.0,ns,8
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,6651375.0,ns,10
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,8350125.0,ns,12
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,9360833.0,ns,14
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,10548750.0,ns,16
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,11875458.0,ns,18
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,13170875.0,ns,20
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,14487792.0,ns,22
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,15842875.0,ns,24
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,17094625.0,ns,26
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,18428709.0,ns,28
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,19752958.0,ns,30
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,21075708.0,ns,32
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,22423667.0,ns,34
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,23712084.0,ns,36
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,25042667.0,ns,38
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,26338750.0,ns,40
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,27631959.0,ns,42
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,28982000.0,ns,44
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,30317125.0,ns,46
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,31593334.0,ns,48
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,32889417.0,ns,50
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,34209000.0,ns,52
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,35594917.0,ns,54
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,36912875.0,ns,56
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,38188208.0,ns,58
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,39472875.0,ns,60
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,40832042.0,ns,62
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,42149709.0,ns,64
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,43445750.0,ns,66
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,44742250.0,ns,68
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,46047167.0,ns,70
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,47382250.0,ns,72
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,48759500.0,ns,74
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,49997958.0,ns,76
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,51348417.0,ns,78
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,52655334.0,ns,80
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,53973917.0,ns,82
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,55258208.0,ns,84
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,56528583.0,ns,86
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,57855000.0,ns,88
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,59192208.0,ns,90
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,60493291.0,ns,92
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,61945208.0,ns,94
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,63144667.0,ns,96
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,64439167.0,ns,98
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,65749500.0,ns,100
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,67105958.0,ns,102
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,68469083.0,ns,104
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,69712916.0,ns,106
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,71049958.0,ns,108
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,77231000.0,ns,110
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,77373375.0,ns,112
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,74451000.0,ns,114
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,75716875.0,ns,116
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,77079625.0,ns,118
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,79016375.0,ns,120
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,80102125.0,ns,122
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,81691625.0,ns,124
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,82587709.0,ns,126
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,83787458.0,ns,128
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,85344916.0,ns,130
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,86480583.0,ns,132
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,87718625.0,ns,134
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,88955750.0,ns,136
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,90275250.0,ns,138
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,91491542.0,ns,140
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,92924458.0,ns,142
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,94375375.0,ns,144
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,95446041.0,ns,146
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,96723792.0,ns,148
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,98122708.0,ns,150
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,99346250.0,ns,152
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,100723750.0,ns,154
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,102100667.0,ns,156
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,103259750.0,ns,158
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,104735500.0,ns,160
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,105782125.0,ns,162
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,107090625.0,ns,164
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,108443375.0,ns,166
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,109835334.0,ns,168
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,111198375.0,ns,170
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,112528500.0,ns,172
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,117342083.0,ns,174
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,117242542.0,ns,176
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,116503583.0,ns,178
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,118025291.0,ns,180
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,119412500.0,ns,182
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,121032375.0,ns,184
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,121691125.0,ns,186
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,123098959.0,ns,188
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,124205875.0,ns,190
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,125723209.0,ns,192
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,128493666.0,ns,194
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,128704083.0,ns,196
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,129610041.0,ns,198
"send(k, m, pk_i)",Sent 160 messages of size 20,,,,130738708.0,ns,200
